Date,Item Name,Quantity,unit,Price,Total,Supplier,Week,Note
2/12/2025,kentang dieng,2,kg,"24,200","48,400",Jasuma,1,staff meals
2/12/2025,mie atom,4,pack,"6,960","27,840",Jasuma,1,staff meals
2/12/2025,tempe,2,pack,"12,760","25,520",Jasuma,1,staff meals
2/12/2025,tahu kuning,30,pcs,696,"20,880",Jasuma,1,staff meals
2/12/2025,bakso taruna,1,pack,"17,400","17,400",Jasuma,1,staff meals
2/12/2025,bawang daun,0.25,kg,"16,080","4,020",Jasuma,1,staff meals
2/12/2025,bawang putih kupas,0.25,kg,"47,400","11,850",Jasuma,1,staff meals
2/12/2025,bawang merah kupas,0.25,kg,"61,320","15,330",Jasuma,1,staff meals
2/12/2025,cabe merah tanjung,0.25,kg,"59,000","14,750",Jasuma,1,staff meals
2/12/2025,cengek merah,0.25,kg,"82,200","20,550",Jasuma,1,staff meals
2/12/2025,sayap ayam,2,kg,"38,000","76,000",Jasuma,1,staff meals
2/12/2025,cengek merah,0.5,kg,"82,200","41,100",Jasuma,1,staff meals
2/12/2025,bawang putih kupas,0.5,kg,"47,400","23,700",Jasuma,1,staff meals
2/12/2025,bawang merah kupas,0.5,kg,"61,320","30,660",Jasuma,1,staff meals
2/12/2025,bawang daun,0.5,kg,"16,080","8,040",Jasuma,1,staff meals
2/12/2025,timun,0.5,kg,"12,600","6,300",Jasuma,1,staff meals
2/12/2025,wortel,0.5,kg,"20,720","10,360",Jasuma,1,staff meals
2/12/2025,terasi merah 250 gr,2,pack,"8,120","16,240",Jasuma,1,staff meals
2/12/2025,kol putih,1.6,kg,"8,120","12,992",Jasuma,1,staff meals
2/12/2025,jeruk limau,0.5,kg,"47,400","23,700",Jasuma,1,staff meals
2/12/2025,seledri,0.25,kg,"33,480","8,370",Jasuma,1,staff meals
4/12/2025,cabe merah tanjung,1,kg,"5,800","5,800",Jasuma,1,reguler kitchen
4/12/2025,kol putih,1,kg,"92,800","92,800",Jasuma,1,reguler kitchen
4/12/2025,bawang putih kupas,0.5,kg,"46,400","23,200",Jasuma,1,reguler kitchen
4/12/2025,bawang bombay,2,kg,"41,760","83,520",Jasuma,1,reguler kitchen
4/12/2025,timun,0.5,kg,"11,600","5,800",Jasuma,1,reguler kitchen
4/12/2025,wortel,0.5,kg,"19,720","9,860",Jasuma,1,reguler kitchen
4/12/2025,pakcoy,1,kg,"13,920","13,920",Jasuma,1,reguler kitchen
4/12/2025,selada keriting,0.25,kg,"23,200","5,800",Jasuma,1,reguler kitchen
4/12/2025,tomat,0.5,kg,"15,080","7,540",Jasuma,1,reguler kitchen
4/12/2025,pisang tanduk,1,kg,"15,080","15,080",Jasuma,1,reguler kitchen
4/12/2025,trash bag 80x120,10,pack,"18,366","183,660",Jasuma,1,operational
4/12/2025,kentang dieng,2,kg,"23,200","46,400",Jasuma,1,reguler kitchen
4/12/2025,beras 5 kg,2,pack,"77,000","154,000",Jasuma,1,reguler kitchen
4/12/2025,prochiz spready 160g,2,pack,"15,080","30,160",Jasuma,1,event
4/12/2025,tepung terigu tulip 1 kg,2,pack,"11,020","22,040",Jasuma,1,event
4/12/2025,maestro mayonaise 1 kg,1,pack,"33,640","33,640",Jasuma,1,event
4/12/2025,telur ayam,1.5,kg,"28,900","43,350",Jasuma,1,event
4/12/2025,wortel,1.5,kg,"19,720","29,580",Jasuma,1,event
4/12/2025,kol putih,3.9,kg,"9,280","36,192",Jasuma,1,event
4/12/2025,bawang bombay,1,kg,"41,700","41,700",Jasuma,1,event
4/12/2025,beras 5 kg,1,pack,"77,000","77,000",Jasuma,1,reguler kitchen
4/12/2025,filet paha ayam,2.5,kg,"48,000","120,000",syariah Chicken,1,reguler kitchen
4/12/2025,tetelan iga,1,kg,"100,000","100,000",syariah Chicken,1,reguler kitchen
6/12/2025,kue basah,45,pcs,"1,333","60,000",direct pasar,1,event
6/12/2025,semangka,1,whole,"74,500","74,500",direct pasar,1,event
6/12/2025,lemon lokal,0.5,kg,"70,000","35,000",direct pasar,1,event
6/12/2025,beras 5 kg,1,pack,"8,000","8,000",direct pasar,1,reguler kitchen
6/12/2025,cengek merah,0.25,kg,"100,000","25,000",direct pasar,1,reguler kitchen
6/12/2025,bawang merah kupas,0.25,kg,"60,000","15,000",direct pasar,1,reguler kitchen
6/12/2025,telur asin,5,pcs,"4,000","20,000",direct pasar,1,reguler kitchen
6/12/2025,telur ayam,1,kg,"30,000","30,000",direct pasar,1,reguler kitchen
6/12/2025,tahu kuning,100,pcs,600,"60,000",direct pasar,1,reguler kitchen
6/12/2025,cireng,10,pack,"13,420","134,200",online ,1,reguler kitchen
